Poeta,Apariciones Totales,Victorias (Laurel de Oro),Finales Disputadas,Eventos en los que Participo
"Marina Maciá",3,2,0,"Exhibición Poetry Slam Alicante | VII Poetry Slam Alicante | VII Poetry Slam Alicante 2"
"Poeta de Demostración",2,0,0,"Poetry Slam Alicante – VII Edición | VII FINAL PSA - 26 JUNIO"
"Nando Arroyo",2,0,1,"Exhibición Poetry Slam Alicante | Poetry Slam Alicante – VII Edición"
"Juan Góngora",2,1,1,"Exhibición Poetry Slam Alicante | Poetry Slam Alicante - VII Edición"
"Lydia Rico",2,0,0,"VII Poetry Slam Alicante | VII Poetry Slam Alicante 2"
"Eliana Ollarve",2,0,0,"VII Poetry Slam Alicante | VII Poetry Slam Alicante 2"
"Antonio Beneite",1,0,0,"III Encuentro VII Torneo Poetry Slam Alicante"
"Mª Pilar Galdón",1,0,0,"Poetry Slam Alicante - VII Edición"
"Josan Canicio",1,0,0,"VII Poetry Slam Alicante"
"NANDO ARROYO",1,0,1,"VII FINAL PSA - 26 JUNIO"
"Francisco Cremades",1,0,1,"Poetry Slam Alicante VII Edición"
"FRANCISCO COBOS",1,0,1,"VII FINAL PSA - 26 JUNIO"
"Rosa Estomba",1,0,0,"Poetry Slam Alicante VII Edición"
"María Lidón",1,0,0,"VII Poetry Slam Alicante"
"Cristian Burgos",1,0,1,"Poetry Slam Alicante – VII Edición"
"Francisco Cobos",1,0,0,"III Encuentro VII Torneo Poetry Slam Alicante"
"Mar Domenech",1,0,0,"III Encuentro VII Torneo Poetry Slam Alicante"
"Lucía Ros",1,0,0,"Exhibición Poetry Slam Alicante"
"Varinia Casati",1,0,1,"Poetry Slam Alicante – VII Edición"
"Jordi Más",1,0,1,"Poetry Slam Alicante - VII Edición"
"Isabel Guiu",1,0,0,"Poetry Slam Alicante VII Edición"
"LAURA GOMEZ",1,0,1,"VII FINAL PSA - 26 JUNIO"
"Pablo Ferrando",1,0,0,"III Encuentro VII Torneo Poetry Slam Alicante"
"Jose Gutiérrez",1,0,1,"Poetry Slam Alicante – VII Edición"
"Guille Lacasito",1,0,1,"Poetry Slam Alicante VII Edición"
"JUAN GONGORA",1,0,1,"VII FINAL PSA - 26 JUNIO"
"Pedro Nso",1,0,1,"Poetry Slam Alicante - VII Edición"
"Margo",1,0,0,"Poetry Slam Alicante VII Edición"
"Jessika Paola",1,0,0,"VII Poetry Slam Alicante"
"Francisca Ossa",1,0,0,"Exhibición Poetry Slam Alicante"
"Jean Pierre",1,0,0,"Poetry Slam Alicante - VII Edición"
"BEATRIZ G. ALBERDI",1,0,1,"VII FINAL PSA - 26 JUNIO"
"Laura Gómez",1,0,0,"III Encuentro VII Torneo Poetry Slam Alicante"
"Beatriz G. Alberdi",1,1,1,"Poetry Slam Alicante – VII Edición"
"Lautaro Marrero",1,0,0,"III Encuentro VII Torneo Poetry Slam Alicante"
"Cristina Molina",1,0,1,"Poetry Slam Alicante VII Edición"
"Alex Carmona",1,1,0,"Exhibición Poetry Slam Alicante"
"GUILLE LACASITO",1,0,1,"VII FINAL PSA - 26 JUNIO"
"Iris Marmol",1,0,1,"Poetry Slam Alicante – VII Edición"
"Carlos Rodríguez",1,0,0,"VII Poetry Slam Alicante"
"Raquel Sánchez",1,0,1,"Poetry Slam Alicante – VII Edición"
"Alexa Rico",1,0,0,"III Encuentro VII Torneo Poetry Slam Alicante"
"MARINA MACIA",1,0,1,"VII FINAL PSA - 26 JUNIO"
"Francis Torregrosa",1,0,0,"Poetry Slam Alicante - VII Edición"
"Alfonso Paso",1,1,1,"Poetry Slam Alicante VII Edición"
"JORDI MAS",1,0,1,"VII FINAL PSA - 26 JUNIO"
"PEDRO NSO",1,0,0,"VII FINAL PSA - 26 JUNIO"
"LYDIA RICO",1,0,1,"VII FINAL PSA - 26 JUNIO"
"ALFONSO PASO",1,1,1,"VII FINAL PSA - 26 JUNIO"
"qwe",0,0,0,""
"q",0,0,0,""
"Poeta de quema",0,0,0,""
"Poeta de quema 1",0,0,0,""
"Poeta de quema 2",0,0,0,""
"w",0,0,0,""
"we",0,0,0,""
"er",0,0,0,""
"e",0,0,0,""
"rtty",0,0,0,""
"r",0,0,0,""
"ty",0,0,0,""
"t",0,0,0,""
"yu",0,0,0,""
